Year,Plot,AMDU,ASNU,BRRU,CORA,DG,ERCI,LATR,NONE,OTHER,SCAR
2015,B?,0.0,0.0,1.6304347826086956,0.0,0.0,0.0,0.0,88.58695652173914,1.0869565217391304,8.695652173913043
2015,BN,0.21739130434782608,1.3858695652173914,2.527173913043478,0.10869565217391304,0.16304347826086957,0.16304347826086957,0.48913043478260876,82.01086956521739,3.233695652173913,9.701086956521738
2015,BS,0.2574370709382151,0.5720823798627002,1.4874141876430207,0.14302059496567504,0.0,0.3146453089244851,0.2860411899313501,82.4370709382151,2.145308924485126,12.356979405034325
2015,UN,1.1155606407322656,1.2299771167048055,3.775743707093822,1.3443935926773456,0.028604118993135013,0.08581235697940504,1.2013729977116705,82.6086956521739,3.3466819221967965,5.263157894736842
2015,US,0.8298755186721992,0.3630705394190871,2.7230290456431536,1.1670124481327802,0.025933609958506226,0.05186721991701245,1.6856846473029046,81.71680497925311,3.5010373443983402,7.935684647302904
2016,BN,0.4076086956521739,0.43478260869565216,5.489130434782609,0.16304347826086957,1.766304347826087,1.548913043478261,0.32608695652173914,76.44021739130434,3.532608695652174,9.891304347826086
2016,BS,0.19021739130434784,0.08152173913043478,3.858695652173913,0.32608695652173914,1.3858695652173914,1.3315217391304348,0.5163043478260869,77.85326086956522,3.5054347826086953,10.95108695652174
2016,UN,1.6304347826086956,0.2717391304347826,6.440217391304348,1.7119565217391304,1.25,0.32608695652173914,1.4945652173913044,79.13043478260869,3.315217391304348,4.429347826086957
2016,US,0.544069640914037,0.1088139281828074,4.325353645266594,1.4145810663764962,0.40805223068552776,0.35364526659412404,1.5778019586507073,78.31882480957563,4.651795429815016,8.297062023939064
2017,BN,0.5434782608695652,0.2717391304347826,6.304347826086956,0.2717391304347826,2.4456521739130435,2.119565217391304,0.3804347826086957,82.28260869565217,3.206521739130435,2.1739130434782608
2017,BS,0.32608695652173914,0.10869565217391304,5.923913043478261,0.32608695652173914,2.010869565217391,1.5217391304347827,0.43478260869565216,81.57608695652175,2.391304347826087,5.380434782608696
2017,RN,0.10869565217391304,0.3804347826086957,6.630434782608696,0.0,0.05434782608695652,3.260869565217391,0.16304347826086957,81.95652173913044,3.0434782608695654,4.4021739130434785
2017,RS,0.10869565217391304,0.10869565217391304,5.543478260869565,0.05434782608695652,0.21739130434782608,3.315217391304348,0.3804347826086957,84.6195652173913,1.7934782608695652,3.858695652173913
2017,UN,1.440217391304348,0.08152173913043478,7.255434782608695,1.7119565217391304,1.25,0.7065217391304348,1.3858695652173914,81.68478260869566,2.7717391304347827,1.7119565217391304
2017,US,1.059782608695652,0.02717391304347826,6.9021739130434785,1.4130434782608696,1.5217391304347827,0.3804347826086957,1.657608695652174,81.27717391304347,3.5054347826086953,2.255434782608696
2018,BN,1.1363636363636365,0.04940711462450593,4.792490118577075,0.14822134387351776,1.5810276679841897,1.33399209486166,0.8399209486166008,82.95454545454545,2.6185770750988144,4.545454545454546
2018,BS,0.10869565217391304,0.21739130434782608,3.804347826086957,0.3804347826086957,1.7391304347826086,0.7608695652173914,0.2717391304347826,82.28260869565217,3.260869565217391,7.173913043478261
2018,RN,0.16304347826086957,0.32608695652173914,5.271739130434783,0.0,0.5434782608695652,1.4130434782608696,0.2717391304347826,84.67391304347827,1.7391304347826086,5.597826086956522
2018,RS,0.32608695652173914,0.0,4.673913043478261,0.0,1.141304347826087,1.684782608695652,0.7608695652173914,81.90217391304347,1.4673913043478262,8.043478260869565
2018,UN,1.3443935926773456,0.14302059496567504,5.034324942791762,1.9164759725400458,1.6876430205949657,0.2288329519450801,0.8581235697940504,83.09496567505721,2.9748283752860414,2.717391304347826
2018,US,1.0869565217391304,0.05434782608695652,5.625,1.2771739130434783,1.9293478260869565,0.08152173913043478,1.0054347826086956,81.30434782608695,3.369565217391304,4.266304347826087
2019,BN,0.6038647342995169,4.1062801932367154,8.51449275362319,0.36231884057971014,0.06038647342995169,4.830917874396135,0.8454106280193237,67.02898550724638,3.804347826086957,9.842995169082126
2019,BS,0.3458498023715415,3.705533596837945,9.239130434782608,0.3952569169960474,0.4940711462450593,3.7549407114624502,0.7411067193675889,64.52569169960475,4.051383399209486,12.747035573122531
2019,RN,0.2717391304347826,4.728260869565217,11.467391304347826,0.0,0.2717391304347826,5.271739130434783,0.16304347826086957,63.20652173913044,3.804347826086957,10.815217391304348
2019,RS,0.16304347826086957,3.641304347826087,9.239130434782608,0.10869565217391304,0.16304347826086957,4.293478260869565,0.2717391304347826,65.43478260869566,3.5869565217391304,13.097826086956522
2019,UN,1.3315217391304348,4.130434782608695,10.625,1.1684782608695652,0.3804347826086957,1.5217391304347827,0.9782608695652175,67.82608695652173,5.679347826086956,6.358695652173912
2019,US,0.7065217391304348,1.6032608695652175,7.554347826086956,1.6032608695652175,0.46195652173913043,0.7880434782608695,1.7391304347826086,68.53260869565217,4.701086956521739,12.309782608695652
2020,BN,0.6521739130434783,2.119565217391304,14.23913043478261,0.5978260869565217,8.532608695652174,3.4782608695652173,1.5217391304347827,63.80434782608696,4.728260869565217,0.32608695652173914
2020,BS,0.16304347826086957,0.7065217391304348,14.891304347826088,0.32608695652173914,6.141304347826087,2.8260869565217392,0.9782608695652175,69.23913043478261,4.3478260869565215,0.3804347826086957
2020,RN,0.4830917874396135,2.5966183574879227,15.277777777777779,0.0,8.876811594202898,5.615942028985507,0.6642512077294686,62.31884057971014,3.864734299516908,0.30193236714975846
2020,RS,0.10869565217391304,1.4673913043478262,13.804347826086957,0.10869565217391304,5.923913043478261,3.532608695652174,0.6521739130434783,69.34782608695652,4.184782608695652,0.8695652173913043
2020,UN,1.3858695652173914,0.7880434782608695,11.820652173913043,1.3043478260869565,5.570652173913043,1.4673913043478262,1.2228260869565217,70.38043478260869,5.978260869565218,0.08152173913043478
2020,US,0.7608695652173914,0.5706521739130435,13.750000000000002,1.3043478260869565,4.646739130434783,0.7336956521739131,1.1684782608695652,71.98369565217392,4.728260869565217,0.3532608695652174
2021,BN,0.48913043478260876,0.0,4.4021739130434785,0.05434782608695652,12.608695652173912,0.9782608695652175,0.6521739130434783,78.04347826086956,2.7717391304347827,0.0
2021,BS,0.21739130434782608,0.05434782608695652,3.6956521739130435,0.21739130434782608,11.467391304347826,1.358695652173913,0.9782608695652175,78.85869565217392,3.097826086956522,0.05434782608695652
2021,RN,0.5434782608695652,0.0,3.6956521739130435,0.0,14.402173913043478,1.4673913043478262,0.10869565217391304,77.77173913043478,2.010869565217391,0.0
2021,RS,0.3804347826086957,0.0,3.641304347826087,0.0,10.597826086956522,1.358695652173913,0.9782608695652175,81.41304347826087,1.4673913043478262,0.16304347826086957
2021,UN,1.4130434782608696,0.02717391304347826,3.532608695652174,1.7119565217391304,12.255434782608695,0.3532608695652174,2.282608695652174,75.40760869565217,2.989130434782609,0.02717391304347826
2021,US,0.7505175983436853,0.0,3.907867494824017,1.6304347826086956,10.9472049689441,0.2587991718426501,2.2256728778467907,76.42339544513457,3.8561076604554865,0.0
2023,BN,0.1404494382022472,7.865168539325842,6.741573033707865,0.0,0.0,4.353932584269663,0.5617977528089888,68.67977528089888,3.932584269662921,7.724719101123595
2023,BS,0.0,2.653631284916201,4.4692737430167595,0.5586592178770949,0.0,3.7709497206703912,1.1173184357541899,72.48603351955308,4.329608938547486,10.614525139664805
2023,UN,0.5555555555555556,3.6111111111111107,6.111111111111111,1.3888888888888888,0.0,1.25,0.5555555555555556,75.27777777777777,6.111111111111111,5.138888888888888
2023,US,0.9776536312849162,0.6983240223463687,6.424581005586592,0.6983240223463687,0.0,1.8156424581005588,1.9553072625698324,75.5586592178771,5.307262569832402,6.564245810055866
2024,BN,0.0,2.361111111111111,4.583333333333333,0.1388888888888889,0.0,2.7777777777777777,0.1388888888888889,79.44444444444444,6.666666666666667,3.888888888888889
2024,BS,0.0,0.8333333333333334,5.138888888888888,0.0,0.0,2.5,1.1111111111111112,77.22222222222223,8.194444444444445,5.0
2024,UN,0.0,1.5277777777777777,6.388888888888888,1.3888888888888888,0.0,0.8333333333333334,0.5555555555555556,81.52777777777777,6.25,1.5277777777777777
2024,US,0.0,0.4166666666666667,4.166666666666666,0.2777777777777778,0.0,0.6944444444444444,0.5555555555555556,82.36111111111111,7.083333333333333,4.444444444444445
