Year,Plot,ALAL,ARTR,BRTE,CETE,DEPI,DF,DS,ELEL,HAGL,LEPE,NONE,OTHER,DG,L,WL,W,litter,ALDE
2015,B2N,2.989130434782609,0.0,19.021739130434785,0.0,0.2717391304347826,0.0,0.0,2.4456521739130435,1.0869565217391304,0.0,74.18478260869566,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,B2S,0.1358695652173913,2.1739130434782608,3.6684782608695654,0.0,0.6793478260869565,0.0,0.0,2.1739130434782608,2.717391304347826,0.0,87.5,0.9510869565217392,0.0,0.0,0.0,0.0,0.0,0.0
2015,BN,1.1158021712907118,0.0,16.103739445114595,0.0,0.060313630880579006,0.0,0.0,1.8998793727382386,0.39203860072376356,0.12062726176115801,80.27744270205066,0.030156815440289503,0.0,0.0,0.0,0.0,0.0,0.0
2015,BS,0.0319693094629156,0.0,6.969309462915602,0.0959079283887468,0.41560102301790286,0.7033248081841432,0.0,1.2148337595907928,3.7723785166240407,0.319693094629156,85.83759590792839,0.639386189258312,0.0,0.0,0.0,0.0,0.0,0.0
2015,U1N,0.5434782608695652,7.336956521739131,2.989130434782609,0.0,0.0,0.0,0.0,2.1739130434782608,0.0,0.0,86.68478260869566,0.2717391304347826,0.0,0.0,0.0,0.0,0.0,0.0
2015,U2N,0.0,8.967391304347826,0.2717391304347826,0.0,0.0,0.0,0.0,2.989130434782609,0.0,0.0,87.77173913043478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,U2S,0.0,10.054347826086957,0.2717391304347826,0.0,0.0,0.0,0.0,1.6304347826086956,0.0,0.0,88.04347826086956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,UN,0.0,6.095041322314049,2.3071625344352618,0.0,0.0,0.10330578512396695,0.4476584022038568,2.3415977961432506,0.10330578512396695,0.0,88.56749311294766,0.03443526170798898,0.0,0.0,0.0,0.0,0.0,0.0
2015,US,0.0,5.944293478260869,1.596467391304348,0.0,0.06793478260869565,0.0,0.5434782608695652,1.7323369565217392,0.4076086956521739,0.033967391304347824,89.53804347826086,0.1358695652173913,0.0,0.0,0.0,0.0,0.0,0.0
2016,BN,1.9293478260869565,0.0,15.59782608695652,0.32608695652173914,0.02717391304347826,0.24456521739130438,0.19021739130434784,1.684782608695652,0.05434782608695652,0.08152173913043478,77.82608695652173,0.08152173913043478,1.875,0.0,0.08152173913043478,0.0,0.0,0.0
2016,BS,0.0,0.0,7.79891304347826,3.4239130434782608,0.5706521739130435,1.3858695652173914,0.10869565217391304,1.0869565217391304,3.91304347826087,1.4673913043478262,79.53804347826086,0.08152173913043478,0.5706521739130435,0.0,0.05434782608695652,0.0,0.0,0.0
2016,UN,0.0,5.163043478260869,1.7391304347826086,0.7880434782608695,0.05434782608695652,0.16304347826086957,1.4673913043478262,2.9619565217391304,0.46195652173913043,0.0,86.875,0.0,0.19021739130434784,0.08152173913043478,0.05434782608695652,0.0,0.0,0.0
2016,US,0.0,4.646739130434783,0.7608695652173914,0.8152173913043478,0.0,0.1358695652173913,1.4130434782608696,1.8478260869565217,0.7065217391304348,0.19021739130434784,89.23913043478261,0.0,0.19021739130434784,0.0,0.05434782608695652,0.0,0.0,0.0
2017,BN,2.010869565217391,0.05434782608695652,18.478260869565215,2.608695652173913,0.05434782608695652,0.43478260869565216,0.05434782608695652,3.315217391304348,0.0,0.05434782608695652,66.84782608695652,0.0,4.510869565217392,1.5217391304347827,0.05434782608695652,0.0,0.0,0.0
2017,BS,0.05434782608695652,0.0,6.8478260869565215,8.641304347826088,0.9782608695652175,2.3369565217391304,0.05434782608695652,0.8152173913043478,0.05434782608695652,3.75,72.33695652173913,0.21739130434782608,1.576086956521739,2.282608695652174,0.05434782608695652,0.0,0.0,0.0
2017,RN,0.8152173913043478,0.0,14.23913043478261,0.9782608695652175,0.10869565217391304,0.2717391304347826,0.10869565217391304,1.4673913043478262,0.0,0.05434782608695652,81.46739130434783,0.10869565217391304,0.10869565217391304,0.2717391304347826,0.0,0.0,0.0,0.0
2017,RS,0.0,0.0,10.271739130434783,7.065217391304348,1.4130434782608696,1.7391304347826086,0.0,0.7608695652173914,0.0,3.4239130434782608,72.88043478260869,0.05434782608695652,0.5434782608695652,1.7934782608695652,0.05434782608695652,0.0,0.0,0.0
2017,UN,0.02717391304347826,5.570652173913043,3.5597826086956523,4.320652173913044,0.0,0.43478260869565216,1.2771739130434783,3.179347826086956,0.0,0.1358695652173913,79.78260869565217,0.08152173913043478,0.3804347826086957,1.0869565217391304,0.16304347826086957,0.0,0.0,0.0
2017,US,0.0,6.032608695652174,2.092391304347826,5.6521739130434785,0.08152173913043478,0.3532608695652174,1.2228260869565217,2.092391304347826,0.02717391304347826,0.6793478260869565,80.08152173913044,0.16304347826086957,0.21739130434782608,0.8967391304347826,0.4076086956521739,0.0,0.0,0.0
2018,BN,1.956521739130435,0.0,11.304347826086957,0.0,0.0,0.16304347826086957,0.05434782608695652,3.91304347826087,0.0,0.0,79.23913043478261,0.05434782608695652,2.989130434782609,0.16304347826086957,0.10869565217391304,0.05434782608695652,0.0,0.0
2018,BS,0.05434782608695652,0.05434782608695652,8.369565217391305,1.358695652173913,0.0,0.5434782608695652,0.0,1.0869565217391304,0.0,1.1956521739130435,84.1304347826087,0.16304347826086957,1.5217391304347827,1.358695652173913,0.10869565217391304,0.05434782608695652,0.0,0.0
2018,RN,1.684782608695652,0.0,13.858695652173914,0.16304347826086957,0.0,0.05434782608695652,0.0,2.717391304347826,0.0,0.05434782608695652,78.04347826086956,0.05434782608695652,2.989130434782609,0.21739130434782608,0.10869565217391304,0.05434782608695652,0.0,0.0
2018,RS,0.05434782608695652,0.0,11.684782608695652,1.25,0.0,1.3043478260869565,0.0,1.141304347826087,0.05434782608695652,0.7608695652173914,80.0,0.0,2.9347826086956523,0.8152173913043478,0.0,0.0,0.0,0.0
2018,UN,0.08152173913043478,6.114130434782608,1.059782608695652,0.625,0.0,0.29891304347826086,0.9239130434782609,4.3478260869565215,0.0,0.0,84.91847826086956,0.10869565217391304,1.2771739130434783,0.19021739130434784,0.02717391304347826,0.02717391304347826,0.0,0.0
2018,US,0.02717391304347826,7.010869565217391,1.3315217391304348,0.4076086956521739,0.0,0.3532608695652174,1.0054347826086956,1.875,0.02717391304347826,0.02717391304347826,86.27717391304348,0.08152173913043478,1.0054347826086956,0.32608695652173914,0.05434782608695652,0.19021739130434784,0.0,0.0
2019,BN,6.358695652173912,0.0,15.32608695652174,2.119565217391304,0.10869565217391304,0.0,0.0,4.945652173913043,0.0,0.21739130434782608,69.07608695652175,0.0,1.0869565217391304,0.5978260869565217,0.0,0.16304347826086957,0.0,0.0
2019,BS,0.10869565217391304,0.0,15.271739130434783,11.467391304347826,0.32608695652173914,0.16304347826086957,0.0,1.0869565217391304,0.0,3.369565217391304,66.95652173913044,0.05434782608695652,0.16304347826086957,1.0326086956521738,0.0,0.0,0.0,0.0
2019,RN,5.217391304347826,0.0,13.586956521739129,3.0434782608695654,0.48913043478260876,0.05434782608695652,0.05434782608695652,4.782608695652174,0.05434782608695652,0.32608695652173914,70.65217391304348,0.10869565217391304,0.8695652173913043,0.7065217391304348,0.0,0.05434782608695652,0.0,0.0
2019,RS,0.0,0.0,15.706521739130435,10.108695652173912,1.3043478260869565,0.0,0.0,2.3369565217391304,0.0,2.3369565217391304,67.22826086956522,0.0,0.2717391304347826,0.5434782608695652,0.0,0.16304347826086957,0.0,0.0
2019,UN,0.16304347826086957,5.733695652173913,4.048913043478261,7.635869565217392,0.1358695652173913,0.0,1.4130434782608696,5.108695652173913,0.0,0.08152173913043478,74.40217391304348,0.05434782608695652,0.29891304347826086,0.4076086956521739,0.0,0.5163043478260869,0.0,0.0
2019,US,0.05434782608695652,6.086956521739131,2.4728260869565215,10.652173913043478,0.43478260869565216,0.0,1.576086956521739,2.5815217391304346,0.0,0.21739130434782608,74.53804347826087,0.02717391304347826,0.16304347826086957,0.3532608695652174,0.05434782608695652,0.7880434782608695,0.0,0.0
2020,BN,0.8695652173913043,0.05434782608695652,4.782608695652174,0.21739130434782608,0.05434782608695652,2.3369565217391304,0.0,2.2282608695652173,0.0,0.05434782608695652,78.80434782608695,0.05434782608695652,10.434782608695652,0.05434782608695652,0.05434782608695652,0.0,0.0,0.0
2020,BS,0.0,0.0,1.25,1.358695652173913,0.0,4.4021739130434785,0.05434782608695652,0.05434782608695652,0.0,2.1739130434782608,78.6413043478261,0.5978260869565217,11.195652173913045,0.05434782608695652,0.21739130434782608,0.0,0.0,0.0
2020,RN,1.8478260869565217,0.0,3.967391304347826,0.8152173913043478,0.16304347826086957,2.1739130434782608,0.05434782608695652,2.4456521739130435,0.05434782608695652,0.10869565217391304,77.82608695652173,0.32608695652173914,10.16304347826087,0.0,0.05434782608695652,0.0,0.0,0.0
2020,RS,0.0,0.0,1.8478260869565217,1.0869565217391304,0.05434782608695652,3.532608695652174,0.0,0.32608695652173914,0.0,1.7391304347826086,76.90217391304348,0.21739130434782608,14.021739130434781,0.10869565217391304,0.16304347826086957,0.0,0.0,0.0
2020,UN,0.0,5.788043478260869,0.08152173913043478,1.4673913043478262,0.0,0.4076086956521739,1.8206521739130435,2.6358695652173916,0.0,0.0,84.21195652173913,0.16304347826086957,2.8532608695652173,0.02717391304347826,0.5163043478260869,0.02717391304347826,0.0,0.0
2020,US,0.0,5.679347826086956,0.10869565217391304,1.2771739130434783,0.0,0.5163043478260869,1.684782608695652,0.9782608695652175,0.0,0.0,86.44021739130436,0.16304347826086957,2.391304347826087,0.1358695652173913,0.625,0.0,0.0,0.0
2021,BN,0.0,1.358695652173913,0.04528985507246377,0.0,0.0,1.5398550724637683,0.36231884057971014,1.0416666666666665,0.0,0.0,89.80978260869566,0.0,5.797101449275362,0.0,0.0,0.04528985507246377,0.0,0.0
2021,BS,0.0,0.0,0.0,0.0,0.0,2.5966183574879227,0.0,0.06038647342995169,0.0,0.0,93.53864734299518,0.0,3.7439613526570046,0.0,0.0,0.06038647342995169,0.0,0.0
2021,OTHER,0.0,0.0,0.0,0.0,0.0,0.5434782608695652,0.0,0.0,0.0,0.0,96.73913043478261,0.0,2.717391304347826,0.0,0.0,0.0,0.0,0.0
2021,RN,0.0,0.0,0.0,0.0,0.0,2.0652173913043477,0.05434782608695652,1.4673913043478262,0.0,0.0,91.19565217391305,0.0,5.217391304347826,0.0,0.0,0.0,0.0,0.0
2021,RS,0.0,0.0,0.0,0.0,0.0,1.5217391304347827,0.0,0.10869565217391304,0.0,0.0,91.90217391304348,0.0,6.467391304347826,0.0,0.0,0.0,0.0,0.0
2021,UN,0.0,6.321510297482838,0.028604118993135013,0.0,0.0,0.2288329519450801,2.030892448512586,1.2299771167048055,0.0,0.0,86.8421052631579,0.028604118993135013,3.1750572082379867,0.0,0.0,0.11441647597254005,0.0,0.0
2021,US,0.0,6.721967963386728,0.0,0.0,0.0,0.40045766590389015,1.4302059496567507,0.17162471395881007,0.0,0.0,90.16018306636155,0.0,0.9725400457665904,0.057208237986270026,0.028604118993135013,0.057208237986270026,0.0,0.0
2022,BN,6.906077348066299,0.0,12.292817679558011,0.2762430939226519,0.0,0.13812154696132595,0.13812154696132595,0.9668508287292817,0.0,0.0,78.45303867403315,0.4143646408839779,0.0,0.13812154696132595,0.0,0.0,0.2762430939226519,0.0
2022,BS,0.13736263736263737,0.13736263736263737,12.912087912087914,0.13736263736263737,0.0,0.13736263736263737,0.0,0.0,0.0,0.0,85.57692307692307,0.0,0.0,0.4120879120879121,0.0,0.0,0.5494505494505495,0.0
2022,UN,0.4143646408839779,4.834254143646409,5.662983425414365,4.143646408839778,0.0,0.2762430939226519,1.2430939226519337,1.1049723756906076,0.0,0.0,81.07734806629834,0.13812154696132595,0.4143646408839779,0.0,0.2762430939226519,0.0,0.4143646408839779,0.0
2022,US,0.1404494382022472,5.196629213483146,4.775280898876404,6.179775280898876,0.5617977528089888,0.2808988764044944,0.9831460674157303,0.1404494382022472,0.0,0.0,80.47752808988764,0.8426966292134831,0.1404494382022472,0.1404494382022472,0.1404494382022472,0.0,0.0,0.0
2023,BN,6.527777777777779,0.0,9.583333333333334,2.2222222222222223,0.1388888888888889,0.0,0.0,0.8333333333333334,0.0,0.0,66.11111111111111,1.5277777777777777,0.0,8.88888888888889,0.0,0.0,4.166666666666666,0.0
2023,BS,0.5555555555555556,0.1388888888888889,11.38888888888889,3.0555555555555554,0.0,0.0,0.0,0.0,0.0,0.0,71.66666666666667,2.2222222222222223,0.0,5.694444444444445,0.0,0.0,5.277777777777778,0.0
2023,UN,0.2777777777777778,6.25,9.305555555555555,8.61111111111111,0.0,0.0,0.0,1.3888888888888888,0.0,0.0,67.63888888888889,0.0,0.0,5.972222222222222,0.0,0.0,0.5555555555555556,0.0
2023,US,0.1388888888888889,4.583333333333333,7.5,10.416666666666668,0.1388888888888889,0.0,0.0,0.4166666666666667,0.0,0.0,70.55555555555556,0.0,0.0,5.555555555555555,0.0,0.0,0.6944444444444444,0.0
2024,BN,0.0,0.0,11.11111111111111,4.166666666666666,0.8333333333333334,0.0,0.0,1.25,0.1388888888888889,0.2777777777777778,72.77777777777777,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,8.61111111111111
2024,BS,0.0,0.0,15.0,7.916666666666666,0.5555555555555556,0.0,0.0,0.0,0.1388888888888889,0.4166666666666667,74.16666666666667,1.3888888888888888,0.0,0.0,0.0,0.0,0.0,0.4166666666666667
2024,UN,0.0,6.25,7.361111111111112,7.083333333333333,0.0,0.0,0.0,1.8055555555555554,0.0,0.1388888888888889,74.72222222222223,2.5,0.0,0.0,0.0,0.0,0.0,0.1388888888888889
2024,US,0.0,6.805555555555555,8.472222222222223,6.944444444444445,0.1388888888888889,0.0,0.0,0.6944444444444444,0.0,0.0,76.25,0.6944444444444444,0.0,0.0,0.0,0.0,0.0,0.0
